Name,Category,Practices Category,Tools Category,Language,URL,Description
Open Data Handbook,Analysis of open data,Data Collection,,,http://opendatahandbook.org/,
Data Journalism Handbook,Analysis of data,Data Management; Data Collection, ,"English, Russian, Spanish, French",http://datajournalismhandbook.org/,
Periodismo de Datos,Analysis of data,Data Management; Data Collection,,Spanish,manual.periodismodedatos.org/,
Responsible Data Handbook,"Analysis and ethics of data management
",Data Management; Data Collection; Risk planning,,,https://responsibledata.io/wp-content/uploads/2014/10/responsible-development-data-book.pdf,
Visualising Information for Advocacy,,Data visualization,,English,https://visualisingadvocacy.org/,
"
El Manual de Periodismo de Datos Iberoamericano es",,Data Management; Data Collection,,Spanish,http://manual.periodismodedatos.org/,
,,,,,,
Tracking Corruption,,Risk Planning,,English,http://www.icfj.org/resources/follow-money-guide-tracking-corruption-english,
Information Security for Journalists,Security and Privacy,,,,http://www.tcij.org/resources/handbooks/infosec,
Set Up your own search engine to filter and administer many documents,News Room,Data Collection,,English,http://www.opensemanticsearch.org/doc/desktop_search,
Mining of Massive Data Sets,Data Science,Data Collection,,English,http://infolab.stanford.edu/~ullman/mmds/book.pdf,
"Security in a box
",Security and Privacy,Data Collection; Risk planning,,English,https://securityinabox.org/en,
Online Journalism Blog,"
",,,,http://onlinejournalismblog.com/,
Data Journalism Heist,,,,,https://leanpub.com/DataJournalismHeist,
Law for Bloggers slides,,Risk Planning,,English,http://www.slideshare.net/onlinejournalist/law-for-bloggers-and-journalists-uk,
Gentle Introduction to SQL,"
",Data Collection,,English,https://github.com/tthibo/SQL-Tutorial#readme,
Dataviz Catalogue,,Data Visualization,,English,https://datavizcatalogue.com,
Finding Stories in Spreadsheets,,Data Analysis,,English,https://leanpub.com/spreadsheetstories/,
Awesome d3 libraries,,,,,https://github.com/wbkd/awesome-d3,
A collection to look at (from Jun) ,,,,,https://github.com/nacyot/awesome-opensource-documents#journalism-and-visualization,